rule_d,word_d,pos_d,rule_d,words_m,poss_m,word_h,pos_h,special,order,rules_h,rules_am
rule1028(в + [пол] + noun + GEN -> adv),в полнеба,adv,rule1028(в + [пол] + noun + GEN -> adv),половина,noun,небо,noun,,1;0,rule1028(noun + GEN -> adv),rule993*(в + adv -> adv)
rule1028(в + [пол] + noun + GEN -> adv),в полроста,adv,rule1028(в + [пол] + noun + GEN -> adv),половина,noun,рост,noun,,1;0,rule1028(noun + GEN -> adv),rule993*(в + adv -> adv)
rule1028(в + [пол] + noun + GEN -> adv),вполоборота,adv,rule1028(в + [пол] + noun + GEN -> adv),половина,noun,оборот,noun,,1;0,rule1028(noun + GEN -> adv),rule993*(в + adv -> adv)
rule1028(в + [пол] + noun + GEN -> adv),вполсилы,adv,rule1028(в + [пол] + noun + GEN -> adv),половина,noun,сила,noun,,1;0,rule1028(noun + GEN -> adv),rule993*(в + adv -> adv)
rule1028(в + [пол] + noun + GEN -> adv),вполнакала,adv,rule1028(в + [пол] + noun + GEN -> adv),половина,noun,накал,noun,,1;0,rule1028(noun + GEN -> adv),rule993*(в + adv -> adv)
rule1028(в + [пол] + noun + GEN -> adv),вполголоса,adv,rule1028(в + [пол] + noun + GEN -> adv),половина,noun,голос,noun,,1;0,rule1028(noun + GEN -> adv),rule993*(в + adv -> adv)
rule1028(в + [пол] + noun + GEN -> adv),вполслуха,adv,rule1028(в + [пол] + noun + GEN -> adv),половина,noun,слух,noun,,1;0,rule1028(noun + GEN -> adv),rule993*(в + adv -> adv)
rule1028(в + [пол] + noun + GEN -> adv),вполуха,adv,rule1028(в + [пол] + noun + GEN -> adv),половина,noun,ухо,noun,,1;0,rule1028(noun + GEN -> adv),rule993*(в + adv -> adv)
rule1028(в + [пол] + noun + GEN -> adv),вполглаза,adv,rule1028(в + [пол] + noun + GEN -> adv),половина,noun,глаз,noun,,1;0,rule1028(noun + GEN -> adv),rule993*(в + adv -> adv)
rule1028(в + [пол] + noun + GEN -> adv),вполноги,adv,rule1028(в + [пол] + noun + GEN -> adv),половина,noun,нога,noun,,1;0,rule1028(noun + GEN -> adv),rule993*(в + adv -> adv)
rule1028(в + [пол] + noun + GEN -> adv),вполдыхания,adv,rule1028(в + [пол] + noun + GEN -> adv),половина,noun,дыхание,noun,,1;0,rule1028(noun + GEN -> adv),rule993*(в + adv -> adv)
rule1028(в + [пол] + noun + GEN -> adv),вполдуши,adv,rule1028(в + [пол] + noun + GEN -> adv),половина,noun,душа,noun,,1;0,rule1028(noun + GEN -> adv),rule993*(в + adv -> adv)
rule1028(в + [пол] + noun + GEN -> adv),в пол-лица,adv,rule1028(в + [пол] + noun + GEN -> adv),половина,noun,лицо,noun,,1;0,rule1028(noun + GEN -> adv),rule993*(в + adv -> adv)
rule1028(в + [пол] + noun + GEN -> adv),вполоткрыта,adv,rule1029(в + [пол/три] + adj + а -> adv),половина,noun,открытый,adj,,1;0,rule1001(adj + а -> adv),rule993*(в + adv -> adv)
rule1028(в + [пол] + noun + GEN -> adv),вполпряма,adv,rule1029(в + [пол/три] + adj + а -> adv),половина,noun,прямой,adj,,1;0,rule1001(adj + а -> adv),rule993*(в + adv -> adv)
rule1028(в + [пол] + noun + GEN -> adv),вполпьяна,adv,rule1029(в + [пол/три] + adj + а -> adv),половина,noun,пьяный,adj,,1;0,rule1001(adj + а -> adv),rule993*(в + adv -> adv)
rule1028(в + [пол] + noun + GEN -> adv),вполсыта,adv,rule1029(в + [пол/три] + adj + а -> adv),половина,noun,сытый,adj,,1;0,rule1001(adj + а -> adv),rule993*(в + adv -> adv)
rule1029(в + [пол/три] + adj + а -> adv),втридорога,adv,rule1029(в + [пол/три] + adj + а -> adv),три,num,дорогой,adj,,1;0,rule1001(adj + а -> adv),rule993*(в + adv -> adv)
rule1029(в + [пол/три] + adj + а -> adv),втридешева,adv,rule1029(в + [пол/три] + adj + а -> adv),три,num,дешёвый,adj,,1;0,rule1001(adj + а -> adv),rule993*(в + adv -> adv)
rule961([полу/само] + verb -> verb),полузакрыть,verb,rule961([полу/само] + verb -> verb),половина,noun,закрыть,verb,,1;0,,
rule961([полу/само] + verb -> verb),полулежать,verb,rule961([полу/само] + verb -> verb),половина,noun,лежать,verb,,1;0,,
rule961([полу/само] + verb -> verb),полуодеть,verb,rule961([полу/само] + verb -> verb),половина,noun,одеть,verb,,1;0,,
rule961([полу/само] + verb -> verb),полусидеть,verb,rule961([полу/само] + verb -> verb),половина,noun,сидеть,verb,,1;0,,
rule961([полу/само] + verb -> verb),полуистлеть,verb,rule961([полу/само] + verb -> verb),половина,noun,истлеть,verb,,1;0,,
rule961([полу/само] + verb -> verb),полупеть,verb,rule961([полу/само] + verb -> verb),половина,noun,петь,verb,,1;0,,
rule961([полу/само] + verb -> verb),полуговорить,verb,rule961([полу/само] + verb -> verb),половина,noun,говорить,verb,,1;0,,
rule961([полу/само] + verb -> verb),полускрыть,verb,rule961([полу/само] + verb -> verb),половина,noun,скрыть,verb,,1;0,,
rule961([полу/само] + verb -> verb),полусгибаться,verb,rule961([полу/само] + verb -> verb),половина,noun,сгибаться,verb,,1;0,,
rule961([полу/само] + verb -> verb),самовоспламениться,verb,rule961([полу/само] + verb -> verb),сам,pron,воспламениться,verb,,1;0,,
rule961([полу/само] + verb -> verb),самозатачиваться,verb,rule961([полу/само] + verb -> verb),сам,pron,затачиваться,verb,,1;0,,
rule961([полу/само] + verb -> verb),самоопределиться,verb,rule961([полу/само] + verb -> verb),сам,pron,определиться,verb,,1;0,,
rule961([полу/само] + verb -> verb),самоопыляться,verb,rule961([полу/само] + verb -> verb),сам,pron,опыляться,verb,,1;0,,
rule961([полу/само] + verb -> verb),самоочищаться,verb,rule961([полу/само] + verb -> verb),сам,pron,очищаться,verb,,1;0,,
rule961([полу/само] + verb -> verb),самоустраниться,verb,rule961([полу/само] + verb -> verb),сам,pron,устраниться,verb,,1;0,,
rule961([полу/само] + verb -> verb),саморазвлекаться,verb,rule961([полу/само] + verb -> verb),сам,pron,развлекаться,verb,,1;0,,
rule961([полу/само] + verb -> verb),самоликвидироваться,verb,rule961([полу/само] + verb -> verb),сам,pron,ликвидироваться,verb,,1;0,,
rule961([noun + ITFX] + verb -> verb),видоизменить,verb,rule961([noun + ITFX] + verb -> verb),вид,noun,изменить,verb,,1;0,,
rule961([noun + ITFX] + verb -> verb),злоупотребить,verb,rule961([noun + ITFX] + verb -> verb),зло,noun,употребить,verb,,1;0,,
rule961([noun + ITFX] + verb -> verb),кровохаркать,verb,rule961([noun + ITFX] + verb -> verb),кровь,noun,харкать,verb,,1;0,,
rule961([noun + ITFX] + verb -> verb),плодоносить,verb,rule961([noun + ITFX] + verb -> verb),плод,noun,носить,verb,,1;0,,
rule961([noun + ITFX] + verb -> verb),трудоустроить,verb,rule961([noun + ITFX] + verb -> verb),труд,noun,устроить,verb,,1;0,,
rule961([adj + ITFX] + verb -> verb),взаимодействовать,verb,rule961([adj + ITFX] + verb -> verb),взаимный,adj,действовать,verb,,1;0,,
rule962(noun + [фицировать] -> verb),радиофицировать,verb,rule962(noun + [фицировать] -> verb),-фицировать,suffixoid,радио,glroot,,0;1,,
rule962(noun + [фицировать] -> verb),теплофицировать,verb,rule962(noun + [фицировать] -> verb),-фицировать,suffixoid,тепло,noun,,0;1,,
rule962(noun + [фицировать] -> verb),звукофицировать,verb,rule962(noun + [фицировать] -> verb),-фицировать,suffixoid,звук,noun,,0;1,,
rule962(noun + [фицировать] -> verb),кинофицировать,verb,rule962(noun + [фицировать] -> verb),-фицировать,suffixoid,кино,noun,,0;1,,
rule962(noun + [фицировать] -> verb),газифицировать,verb,rule962(noun + [фицировать] -> verb),-фицировать,suffixoid,газ,noun,,0;1,,
rule962(noun + [фицировать] -> verb),газофицировать,verb,rule962(noun + [фицировать] -> verb),-фицировать,suffixoid,газ,noun,,0;1,,
rule962(noun + [фицировать] -> verb),электрифицировать,verb,rule962(noun + [фицировать] -> verb),-фицировать,suffixoid,электро,glroot,,0;1,,
rule962(noun + [фицировать] -> verb),электрофицировать,verb,rule962(noun + [фицировать] -> verb),-фицировать,suffixoid,электро,glroot,,0;1,,
rule962(adj + [фицировать] -> verb),интенсифицировать,verb,rule962(adj + [фицировать] -> verb),-фицировать,suffixoid,интенсивный,adj,,0;1,,
rule962(adj + [фицировать] -> verb),русифицировать,verb,rule962(adj + [фицировать] -> verb),-фицировать,suffixoid,русский,adj,,0;1,,
,благотворить,verb,,,,,,,1;0,,
,злоумышлять,verb,,,,,,,1;0,,
,заблагорассудиться,verb,,,,,,,1;0,,
,оплодотворить,verb,,,,,,,1;0,,
,умиротворить,verb,,,,,,,1;0,,
,размокропогодить,verb,,,,,,,1;0,,
,христарадничать,verb,,,,,,,1;0,,
,очертяголовничать,verb,,,,,,,1;0,,
,семизвездиться,verb,,,,,,,1;0,,
,отсамокритиковаться,verb,,,,,,,1;0,,
rule767([noun + ITFX] + verb + н1(ый) -> adj),центробежный,adj,rule767([noun + ITFX] + verb + н1(ый) -> adj),центр,noun,бежать,verb,,1;0,rule646(verb + н1(ый) -> adj),
rule767([noun + ITFX] + verb + н1(ый) -> adj),болезнетворный,adj,rule767([noun + ITFX] + verb + н1(ый) -> adj),болезнь,noun,творить,verb,,1;0,rule646(verb + н1(ый) -> adj),
rule767([noun + ITFX] + verb + н1(ый) -> adj),газоходный,adj,rule767([noun + ITFX] + verb + н1(ый) -> adj),газ,noun,ходить,verb,,1;0,rule646(verb + н1(ый) -> adj),
rule767([noun + ITFX] + verb + н1(ый) -> adj),судоходный,adj,rule767([noun + ITFX] + verb + н1(ый) -> adj),судно,noun,ходить,verb,,1;0,rule646(verb + н1(ый) -> adj),
rule767([noun + ITFX] + verb + н1(ый) -> adj),камнерезный,adj,rule767([noun + ITFX] + verb + н1(ый) -> adj),камень,noun,резать,verb,,1;0,rule646(verb + н1(ый) -> adj),
rule767([noun + ITFX] + verb + н1(ый) -> adj),книгописный,adj,rule767([noun + ITFX] + verb + н1(ый) -> adj),книга,noun,писать,verb,,1;0,rule646(verb + н1(ый) -> adj),
rule767([noun + ITFX] + verb + н1(ый) -> adj),рыболовный,adj,rule767([noun + ITFX] + verb + н1(ый) -> adj),рыба,noun,ловить,verb,,1;0,rule646(verb + н1(ый) -> adj),
rule767([noun + ITFX] + verb + н1(ый) -> adj),огнестрельный,adj,rule767([noun + ITFX] + verb + н1(ый) -> adj),огонь,noun,стрелять,verb,,1;0,rule646(verb + н1(ый) -> adj),
rule767([noun + ITFX] + verb + н1(ый) -> adj),землесосный,adj,rule767([noun + ITFX] + verb + н1(ый) -> adj),земля,noun,сосать,verb,,1;0,rule646(verb + н1(ый) -> adj),
rule767([noun + ITFX] + verb + н1(ый) -> adj),дружелюбный,adj,rule767([noun + ITFX] + verb + н1(ый) -> adj),друг,noun,любить,verb,,1;0,rule646(verb + н1(ый) -> adj),
rule767([noun + ITFX] + verb + н1(ый) -> adj),теплопроводный,adj,rule767([noun + ITFX] + verb + н1(ый) -> adj),тепло,noun,проводить,verb,,1;0,rule646(verb + н1(ый) -> adj),
rule767([noun + ITFX] + verb + н1(ый) -> adj),рыборазводный,adj,rule767([noun + ITFX] + verb + н1(ый) -> adj),рыба,noun,разводить,verb,,1;0,rule646(verb + н1(ый) -> adj),
rule767([noun + ITFX] + verb + н1(ый) -> adj),победоносный,adj,rule767([noun + ITFX] + verb + н1(ый) -> adj),победа,noun,нести,verb,,1;0,rule646(verb + н1(ый) -> adj),
rule767([noun + ITFX] + verb + н1(ый) -> adj),водоносный,adj,rule767([noun + ITFX] + verb + н1(ый) -> adj),вода,noun,нести,verb,,1;0,rule646(verb + н1(ый) -> adj),
rule767([noun + ITFX] + verb + н1(ый) -> adj),нефтегазоносный,adj,rule767([noun + ITFX] + verb + н1(ый) -> adj),нефть;газ,noun;noun,нести,verb,,1;2;0,rule646(verb + н1(ый) -> adj),
rule767([noun + ITFX] + verb + н1(ый) -> adj),насекомоядный,adj,rule767([noun + ITFX] + verb + н1(ый) -> adj),насекомое,noun,есть,verb,,1;0,rule646(verb + н1(ый) -> adj),
rule767([noun + ITFX] + verb + н1(ый) -> adj),травоядный,adj,rule767([noun + ITFX] + verb + н1(ый) -> adj),трава,noun,есть,verb,,1;0,rule646(verb + н1(ый) -> adj),
rule767([noun + ITFX] + verb + н1(ый) -> adj),желчегонный,adj,rule767([noun + ITFX] + verb + н1(ый) -> adj),желчь,noun,гнать,verb,,1;0,rule646(verb + н1(ый) -> adj),
rule767([noun + ITFX] + verb + н1(ый) -> adj),глистогонный,adj,rule767([noun + ITFX] + verb + н1(ый) -> adj),глист,noun,гнать,verb,,1;0,rule646(verb + н1(ый) -> adj),
rule767([noun + ITFX] + verb + н1(ый) -> adj),гостеприимный,adj,rule767([noun + ITFX] + verb + н1(ый) -> adj),гость,noun,принять,verb,,1;0,rule646(verb + н1(ый) -> adj),
rule767([noun + ITFX] + verb + н1(ый) -> adj),хлебоприёмный,adj,rule767([noun + ITFX] + verb + н1(ый) -> adj),хлеб,noun,принять,verb,,1;0,rule646(verb + н1(ый) -> adj),
rule767([noun + ITFX] + verb + н1(ый) -> adj),судоподъёмный,adj,rule767([noun + ITFX] + verb + н1(ый) -> adj),судно,noun,поднять,verb,,1;0,rule646(verb + н1(ый) -> adj),
rule767([noun + ITFX] + verb + н1(ый) -> adj),сердобольный,adj,rule767([noun + ITFX] + verb + н1(ый) -> adj),сердце,noun,болеть,verb,,1;0,rule646(verb + н1(ый) -> adj),
rule767([noun + ITFX] + verb + н1(ый) -> adj),авианосный,adj,rule767([noun + ITFX] + verb + н1(ый) -> adj),авиа-,glroot,нести,verb,,1;0,rule646(verb + н1(ый) -> adj),
rule767([noun + ITFX] + verb + н1(ый) -> adj),электропроводный,adj,rule767([noun + ITFX] + verb + н1(ый) -> adj),электро-,glroot,проводить,verb,,1;0,rule646(verb + н1(ый) -> adj),
rule767([noun + ITFX] + verb + н1(ый) -> adj),электросварный,adj,rule767([noun + ITFX] + verb + н1(ый) -> adj),электро-,glroot,сварить,verb,,1;0,rule646(verb + н1(ый) -> adj),
rule767([noun + ITFX] + verb + н1(ый) -> adj),ракетоносный,adj,rule767([noun + ITFX] + verb + н1(ый) -> adj),ракета,noun,нести,verb,,1;0,rule646(verb + н1(ый) -> adj),
rule767([noun + ITFX] + verb + н1(ый) -> adj),водобойный,adj,rule767([noun + ITFX] + verb + н1(ый) -> adj),вода,noun,бить,verb,,1;0,rule646(verb + н1(ый) -> adj),
rule767([noun + ITFX] + verb + н1(ый) -> adj),воздухолётный,adj,rule767([noun + ITFX] + verb + н1(ый) -> adj),воздух,noun,лететь,verb,,1;0,rule646(verb + н1(ый) -> adj),
rule767([noun + ITFX] + verb + н1(ый) -> adj),скоротечный,adj,rule767([adj + ITFX] + verb + н1(ый) -> adj),скорый,adj,течь,verb,,1;0,rule646(verb + н1(ый) -> adj),
rule767([noun + ITFX] + verb + н1(ый) -> adj),тиховейный,adj,rule767([adj + ITFX] + verb + н1(ый) -> adj),тихий,adj,веять,verb,,1;0,rule646(verb + н1(ый) -> adj),
rule767([noun + ITFX] + verb + н1(ый) -> adj),дальновидный,adj,rule767([adj + ITFX] + verb + н1(ый) -> adj),дальний,adj,видеть,verb,,1;0,rule646(verb + н1(ый) -> adj),
rule767([noun + ITFX] + verb + н1(ый) -> adj),тихоходный,adj,rule767([adj + ITFX] + verb + н1(ый) -> adj),тихий,adj,ходить,verb,,1;0,rule646(verb + н1(ый) -> adj),
rule767([noun + ITFX] + verb + н1(ый) -> adj),тошнотворный,adj,rule767([adj + ITFX] + verb + н1(ый) -> adj),тошный,adj,творить,verb,,1;0,rule646(verb + н1(ый) -> adj),
rule767([noun + ITFX] + verb + н1(ый) -> adj),самодельный,adj,,сам,pron,делать,verb,,1;0,rule646(verb + н1(ый) -> adj),
rule767([noun + ITFX] + verb + н1(ый) -> adj),сыродутный,adj,rule767([noun + ITFX] + verb + н1(ый) -> adj),сыр,noun,дуть,verb,,1;0,rule646(verb + н1(ый) -> adj),
rule767([noun + ITFX] + verb + н1(ый) -> adj),словолитный,adj,rule767([noun + ITFX] + verb + н1(ый) -> adj),слово,noun,лить,verb,,1;0,rule646(verb + н1(ый) -> adj),
rule767([noun + ITFX] + verb + н1(ый) -> adj),кровопролитный,adj,rule767([noun + ITFX] + verb + н1(ый) -> adj),кровь,noun,пролить,verb,,1;0,rule646(verb + н1(ый) -> adj),
rule767([noun + ITFX] + verb + н1(ый) -> adj),шерстобитный,adj,rule767([noun + ITFX] + verb + н1(ый) -> adj),шерсть,noun,бить,verb,,1;0,rule646(verb + н1(ый) -> adj),
rule767([noun + ITFX] + verb + н1(ый) -> adj),челобитный,adj,rule767([noun + ITFX] + verb + н1(ый) -> adj),чело,noun,бить,verb,,1;0,rule646(verb + н1(ый) -> adj),
rule767([noun + ITFX] + verb + н1(ый) -> adj),сыромятный,adj,rule767([noun + ITFX] + verb + н1(ый) -> adj),сыр,noun,мять,verb,,1;0,rule646(verb + н1(ый) -> adj),
rule767([noun + ITFX] + verb + н1(ый) -> adj),глиномятный,adj,rule767([noun + ITFX] + verb + н1(ый) -> adj),глина,noun,мять,verb,,1;0,rule646(verb + н1(ый) -> adj),
rule767([noun + ITFX] + verb + н1(ый) -> adj),воздуходувный,adj,rule767([noun + ITFX] + verb + н1(ый) -> adj),воздух,noun,дуть,verb,,1;0,rule646(verb + н1(ый) -> adj),
rule767([noun + ITFX] + verb + н1(ый) -> adj),стеклодувный,adj,rule767([noun + ITFX] + verb + н1(ый) -> adj),стекло,noun,дуть,verb,,1;0,rule646(verb + н1(ый) -> adj),
rule767([noun + ITFX] + verb + н1(ый) -> adj),пескодувный,adj,rule767([noun + ITFX] + verb + н1(ый) -> adj),песок,noun,дуть,verb,,1;0,rule646(verb + н1(ый) -> adj),
rule767([noun + ITFX] + verb + н1(ый) -> adj),водоливный,adj,rule767([noun + ITFX] + verb + н1(ый) -> adj),вода,noun,лить,verb,,1;0,rule646(verb + н1(ый) -> adj),
rule767([noun + ITFX] + verb + н1(ый) -> adj),сладкопевный,adj,rule767([adj + ITFX] + verb + н1(ый) -> adj),сладкий,adj,петь,verb,,1;0,rule646(verb + н1(ый) -> adj),
rule767([noun + ITFX] + verb + н1(ый) -> adj),водогрейный,adj,rule767([noun + ITFX] + verb + н1(ый) -> adj),вода,noun,греть,verb,,1;0,rule646(verb + н1(ый) -> adj),
rule767([noun + ITFX] + verb + н1(ый) -> adj),землеройный,adj,rule767([noun + ITFX] + verb + н1(ый) -> adj),земля,noun,рыть,verb,,1;0,rule646(verb + н1(ый) -> adj),
rule767([noun + ITFX] + verb + н1(ый) -> adj),поломойный,adj,rule767([noun + ITFX] + verb + н1(ый) -> adj),пол,noun,мыть,verb,,1;0,rule646(verb + н1(ый) -> adj),
rule767([noun + ITFX] + verb + н1(ый) -> adj),шерстомойный,adj,rule767([noun + ITFX] + verb + н1(ый) -> adj),шерсть,noun,мыть,verb,,1;0,rule646(verb + н1(ый) -> adj),
rule767([noun + ITFX] + verb + н1(ый) -> adj),бронебойный,adj,rule767([noun + ITFX] + verb + н1(ый) -> adj),броня,noun,бить,verb,,1;0,rule646(verb + н1(ый) -> adj),
rule767([noun + ITFX] + verb + н1(ый) -> adj),китобойный,adj,rule767([noun + ITFX] + verb + н1(ый) -> adj),кит,noun,бить,verb,,1;0,rule646(verb + н1(ый) -> adj),
rule767([adj + ITFX] + verb + н1(ый) -> adj),дальнобойный,adj,rule767([adj + ITFX] + verb + н1(ый) -> adj),дальний,adj,бить,verb,,1;0,rule646(verb + н1(ый) -> adj),
rule767([adj + ITFX] + verb + н1(ый) -> adj),самодельный,adj,,сам,pron,делать,verb,,1;0,rule646(verb + н1(ый) -> adj),
rule767([adj + ITFX] + verb + н1(ый) -> adj),скоротечный,adj,rule767([adj + ITFX] + verb + н1(ый) -> adj),скорый,adj,течь,verb,,1;0,rule646(verb + н1(ый) -> adj),
rule767([adj + ITFX] + verb + н1(ый) -> adj),маломощный,adj,rule767([adj + ITFX] + verb + н1(ый) -> adj),малый,adj,мочь,verb,,1;0,rule646(verb + н1(ый) -> adj),
rule767([adj + ITFX] + verb + н1(ый) -> adj),маломочный,adj,rule767([adj + ITFX] + verb + н1(ый) -> adj),малый,adj,мочь,verb,,1;0,rule646(verb + н1(ый) -> adj),
rule767([adj + ITFX] + verb + н1(ый) -> adj),мимолётный,adj,,мимо,adv,лететь,verb,,1;0,rule646(verb + н1(ый) -> adj),
rule767([adj + ITFX] + verb + н1(ый) -> adj),всеядный,adj,,всё,pron,есть,verb,,1;0,rule646(verb + н1(ый) -> adj),
rule767([adj + ITFX] + verb + н1(ый) -> adj),самобытный,adj,,сам,pron,быть,verb,,1;0,rule646(verb + н1(ый) -> adj),
rule768([noun + ITFX] + verb + тельн(ый)/ительн(ый) -> adj),землечерпательный,adj,rule768([noun + ITFX] + verb + тельн(ый)/ительн(ый) -> adj),земля,noun,черпать,verb,,1;0,rule652(verb + тельн(ый)/ительн(ый) -> adj),
rule768([noun + ITFX] + verb + тельн(ый)/ительн(ый) -> adj),пищеварительный,adj,rule768([noun + ITFX] + verb + тельн(ый)/ительн(ый) -> adj),пища,noun,варить,verb,,1;0,rule652(verb + тельн(ый)/ительн(ый) -> adj),
rule768([noun + ITFX] + verb + тельн(ый)/ительн(ый) -> adj),кровопускательный,adj,rule768([noun + ITFX] + verb + тельн(ый)/ительн(ый) -> adj),кровь,noun,пускать,verb,,1;0,rule652(verb + тельн(ый)/ительн(ый) -> adj),
rule768([noun + ITFX] + verb + тельн(ый)/ительн(ый) -> adj),благожелательный,adj,rule768([noun + ITFX] + verb + тельн(ый)/ительн(ый) -> adj),благо,noun,желать,verb,,1;0,rule652(verb + тельн(ый)/ительн(ый) -> adj),
rule768([noun + ITFX] + verb + тельн(ый)/ительн(ый) -> adj),землеустроительный,adj,rule768([noun + ITFX] + verb + тельн(ый)/ительн(ый) -> adj),земля,noun,устроить,verb,,1;0,rule652(verb + тельн(ый)/ительн(ый) -> adj),
rule768([noun + ITFX] + verb + тельн(ый)/ительн(ый) -> adj),берегоукрепительный,adj,rule768([noun + ITFX] + verb + тельн(ый)/ительн(ый) -> adj),берег,noun,укрепить,verb,,1;0,rule652(verb + тельн(ый)/ительн(ый) -> adj),
rule768([noun + ITFX] + verb + тельн(ый)/ительн(ый) -> adj),железоделательный,adj,rule768([noun + ITFX] + verb + тельн(ый)/ительн(ый) -> adj),железо,noun,делать,verb,,1;0,rule652(verb + тельн(ый)/ительн(ый) -> adj),
rule768([noun + ITFX] + verb + тельн(ый)/ительн(ый) -> adj),бумагоделательный,adj,rule768([noun + ITFX] + verb + тельн(ый)/ительн(ый) -> adj),бумага,noun,делать,verb,,1;0,rule652(verb + тельн(ый)/ительн(ый) -> adj),
rule768([noun + ITFX] + verb + тельн(ый)/ительн(ый) -> adj),вагоностроительный,adj,rule768([noun + ITFX] + verb + тельн(ый)/ительн(ый) -> adj),вагон,noun,строить,verb,,1;0,rule652(verb + тельн(ый)/ительн(ый) -> adj),
rule768([noun + ITFX] + verb + тельн(ый)/ительн(ый) -> adj),станкостроительный,adj,rule768([noun + ITFX] + verb + тельн(ый)/ительн(ый) -> adj),станок,noun,строить,verb,,1;0,rule652(verb + тельн(ый)/ительн(ый) -> adj),
rule768([noun + ITFX] + verb + тельн(ый)/ительн(ый) -> adj),ракетостроительный,adj,rule768([noun + ITFX] + verb + тельн(ый)/ительн(ый) -> adj),ракета,noun,строить,verb,,1;0,rule652(verb + тельн(ый)/ительн(ый) -> adj),
,любознательный,adj,,любить,verb,знать,verb,,1;0,rule652(verb + тельн(ый)/ительн(ый) -> adj),
rule769([noun + ITFX] + verb + енн(ый) -> adj),мыловаренный,adj,rule769([noun + ITFX] + verb + енн(ый) -> adj),мыло,noun,варить,verb,,1;0,rule664*(verb + енн(ый) -> adj),
rule769([noun + ITFX] + verb + енн(ый) -> adj),клееваренный,adj,rule769([noun + ITFX] + verb + енн(ый) -> adj),клей,noun,варить,verb,,1;0,rule664*(verb + енн(ый) -> adj),
rule769([noun + ITFX] + verb + енн(ый) -> adj),пивоваренный,adj,rule769([noun + ITFX] + verb + енн(ый) -> adj),пиво,noun,варить,verb,,1;0,rule664*(verb + енн(ый) -> adj),
rule769([noun + ITFX] + verb + енн(ый) -> adj),винокуренный,adj,rule769([noun + ITFX] + verb + енн(ый) -> adj),вино,noun,курить,verb,,1;0,rule664*(verb + енн(ый) -> adj),
rule769([noun + ITFX] + verb + енн(ый) -> adj),смолокуренный,adj,rule769([noun + ITFX] + verb + енн(ый) -> adj),смола,noun,курить,verb,,1;0,rule664*(verb + енн(ый) -> adj),
rule769([noun + ITFX] + verb + енн(ый) -> adj),салотопенный,adj,rule769([noun + ITFX] + verb + енн(ый) -> adj),сало,noun,топить,verb,,1;0,rule664*(verb + енн(ый) -> adj),
rule769([noun + ITFX] + verb + енн(ый) -> adj),жиротопенный,adj,rule769([noun + ITFX] + verb + енн(ый) -> adj),жир,noun,топить,verb,,1;0,rule664*(verb + енн(ый) -> adj),
rule769([noun + ITFX] + verb + лив(ый)/чив(ый)/ив(ый) -> adj),теплолюбивый,adj,rule769([noun + ITFX] + verb + лив(ый)/чив(ый)/ив(ый) -> adj),тепло,noun,любить,verb,,1;0,rule661*(verb + лив(ый)/чив(ый)/ив(ый) -> adj),
rule769([noun + ITFX] + verb + лив(ый)/чив(ый)/ив(ый) -> adj),человеколюбивый,adj,rule769([noun + ITFX] + verb + лив(ый)/чив(ый)/ив(ый) -> adj),человек,noun,любить,verb,,1;0,rule661*(verb + лив(ый)/чив(ый)/ив(ый) -> adj),
